names,cusine,price,reviews_count,rating,address,url
Padella,Restaurant,£,"3,651 reviews",4.6,"6 Southwark St, London SE1 1TQ","https://www.google.com/maps/place/Padella/@51.5108717,-0.0964752,14z/data=!4m9!1m2!2m1!1srestaurants+in+london+uk!3m5!1s0x4876035768a99e75:0xaf7a08783e07f5a4!8m2!3d51.5051655!4d-0.0899202!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgEKcmVzdGF1cmFudA"
Smiths of Wapping,Seafood restaurant,£££,"1,363 reviews",4.7,"22 Wapping High St, London E1W 1NJ","https://www.google.com/maps/place/Smiths+of+Wapping/@51.504228,-0.0838245,14z/data=!4m9!1m2!2m1!1srestaurants+in+london+uk!3m5!1s0x48760339deb1834b:0x72a0c07229ebd18d!8m2!3d51.504228!4d-0.066315!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgESc2VhZm9vZF9yZXN0YXVyYW50"
Smiths of Wapping,Seafood restaurant,£££,"1,363 reviews",4.7,"22 Wapping High St, London E1W 1NJ","https://www.google.com/maps/place/SMOKESTAK/@51.504228,-0.0838245,14z/data=!4m6!1m2!2m1!1srestaurants+in+london+uk!3m2!1s0x48761d337cd558a1:0xf287ce328572d76f!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgETYmFyYmVjdWVfcmVzdGF1cmFudA"
SMOKESTAK,Barbecue restaurant,Not Available,"2,622 reviews",4.5,,"https://www.google.com/maps/place/Il+Bordello/@51.5236833,-0.0904477,14z/data=!4m6!1m2!2m1!1srestaurants+in+london+uk!3m2!1s0x4876033abf22013f:0x4e448b5a870cea1b!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgESaXRhbGlhbl9yZXN0YXVyYW50"
Il Bordello,Italian restaurant,££,"1,170 reviews",4.5,"metropolitan wharf, 70 Wapping Wall, London E1W 3SS","https://www.google.com/maps/place/Il+Bordello/@51.5066137,-0.0701131,14z/data=!4m9!1m2!2m1!1srestaurants+in+london+uk!3m5!1s0x4876033abf22013f:0x4e448b5a870cea1b!8m2!3d51.5066147!4d-0.0526072!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgESaXRhbGlhbl9yZXN0YXVyYW50"
Armouries Restaurant,Family restaurant,Not Available,5 reviews,3.4,"Tower Hill, London EC3N 4AB","https://www.google.com/maps/place/Armouries+Restaurant/@51.5066137,-0.0701131,14z/data=!4m9!1m2!2m1!1srestaurants+in+london+uk!3m5!1s0x4876034955beb807:0x2ef39a6ede339109!8m2!3d51.5082228!4d-0.075929!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgERZmFtaWx5X3Jlc3RhdXJhbnQ"
Le Pont de la Tour,French restaurant,£££,"1,104 reviews",4.3,,"https://www.google.com/maps/place/Paladar/@51.5066137,-0.0701131,14z/data=!4m6!1m2!2m1!1srestaurants+in+london+uk!3m2!1s0x487604a341961979:0x24ad261bc8353bc7!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgEKcmVzdGF1cmFudA"
Paladar,Restaurant,££,750 reviews,4.7,"4-5 London Rd, London SE1 6JZ","https://www.google.com/maps/place/Paladar/@51.4981401,-0.1218785,14z/data=!4m9!1m2!2m1!1srestaurants+in+london+uk!3m5!1s0x487604a341961979:0x24ad261bc8353bc7!8m2!3d51.4981672!4d-0.1043161!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgEKcmVzdGF1cmFudA"
Brawn,Mediterranean restaurant,££,614 reviews,4.7,"49 Columbia Rd, London E2 7RG","https://www.google.com/maps/place/Brawn/@51.528968,-0.0877485,14z/data=!4m9!1m2!2m1!1srestaurants+in+london+uk!3m5!1s0x48761cc7623842af:0x4bb9017c4ea386c4!8m2!3d51.528968!4d-0.070239!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgEYbWVkaXRlcnJhbmVhbl9yZXN0YXVyYW50"
Lobos Meat and Tapas,Tapas restaurant,£££,"1,086 reviews",4.4,"14 Borough High St, London SE1 9QG","https://www.google.com/maps/place/Archipelago/@51.5055945,-0.1067879,14z/data=!4m6!1m2!2m1!1srestaurants+in+london+uk!3m2!1s0x48761b28ff4c92f1:0xcc0da3fd3ada4401!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgETZWNsZWN0aWNfcmVzdGF1cmFudA"
Archipelago,Eclectic restaurant,£££,379 reviews,4.5,"53 Cleveland St, London W1T 4JJ","https://www.google.com/maps/place/Archipelago/@51.5204699,-0.1563437,14z/data=!4m9!1m2!2m1!1srestaurants+in+london+uk!3m5!1s0x48761b28ff4c92f1:0xcc0da3fd3ada4401!8m2!3d51.52048!4d-0.1388113!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgETZWNsZWN0aWNfcmVzdGF1cmFudA"
