names,cuisine,price,reviews,rating,bookings,address
Seasons Mayfair,Fish,4,41,4.3,8,Mayfair
PAPA L's KITCHEN,African,4,257,4.6,6,St. James's
Coqbull Soho,Rotisserie Chicken,2,175,4.1,47,Soho
Ham Yard Bar and Restaurant,Modern European,2,3696,4.6,92,Soho
El Norte,Spanish,4,296,4.5,45,Mayfair
Park Row,Modern European,4,485,4.6,195,Soho
Bill's Restaurant & Bar - Soho,British,2,1289,4.2,147,Soho
Whitcomb's,French,4,193,4.6,13,Leicester Square
temper Soho,Steak,4,3083,4.2,88,Soho
Maoz Soho,Middle Eastern,2,231,4.3,33,Soho
The Ivy Soho Brasserie,Breakfast,2,7059,4.2,260,Soho
Happy,European,2,1498,4.4,165,Leicester Square
Gaucho Piccadilly,Steak,4,10083,4.2,74,Piccadilly
Pierre Victoire,French,2,4365,4.6,41,Soho
Forty Dean Street,Italian,3,2183,4.5,66,Soho
Tamarind Kitchen,Indian,3,1057,4.6,39,Soho
Fishworks - Swallow Street,Seafood,2,2750,4.4,34,Piccadilly
ROBATA,Japanese,3,953,4.4,46,Soho
Prix Fixe Brasserie,French,3,2877,4.5,30,Soho
Sarap Bistro,Filipino,4,72,4.6,19,Mayfair
Heddon Street Kitchen,Modern European,3,2213,4.2,94,Piccadilly
Farzi Cafe,Indian,3,892,4.3,36,Piccadilly
Lobos Meat & Tapas - Soho,Spanish,2,1503,4.5,66,Soho
Rowley's Restaurant,British,4,1900,4.5,19,Piccadilly
Estiatorio Milos – London,Seafood,4,1473,4.6,70,Piccadilly
Vasco & Piero's Pavilion Restaurant,Italian,3,1109,4.6,10,Soho
Green Bar at Hotel Cafe Royal,Bar / Lounge / Bottle Service,3,65,4.5,3,Piccadilly
Orient London,Chinese,2,772,4.5,12,Soho
ZIMA Russian Restaurant,Russian,3,683,4.7,32,Soho
Kanishka,Indian,4,1085,4.4,36,Mayfair
INO GASTROBAR,Greek,3,98,4.5,11,Soho
Pix Carnaby,Tapas / Small Plates,2,443,4.1,16,Soho
Refuel Restaurant at The Soho Hotel,Modern European,2,2619,4.5,9,Soho
Ruby's Soho,Contemporary British,2,262,4.0,12,Soho
The Rainforest Cafe London,American,3,3091,NA,185,Piccadilly
Aqua Kyoto,Japanese,4,613,4.4,13,Soho
SOLA SOHO,Californian,4,124,4.6,8,Soho
Macellaio RC Soho,Steak,3,55,4.3,8,Soho
Suvlaki Soho,Greek,2,739,4.6,17,Soho
Red Dog Saloon Soho,American,2,642,4.0,32,Soho
The Good Egg Soho,Middle Eastern,2,396,4.3,16,Soho
Patara - Soho,Thai,3,3331,4.4,37,Soho
Obicà Mozzarella Bar - Poland Street,Italian,2,578,4.3,19,Oxford Circus
Pix - Soho,Tapas / Small Plates,2,766,4.2,24,Soho
Preto West End,Steakhouse,2,574,3.9,42,Leicester Square
O Ver St James,Italian,3,113,4.4,15,Piccadilly
BaoziInn - Romilly Street,Dim Sum,2,767,3.9,54,Soho
