,names,cuisine,price,reviews,rating,address
0,Seasons Mayfair,Seafood,4,41.0,4.3,Mayfair
1,Papa L'S Kitchen,African,4,257.0,4.6,St. James's
2,Coqbull Soho,Rotisserie Chicken,2,175.0,4.1,Soho
3,Ham Yard Bar And Restaurant,Modern European,2,3696.0,4.6,Soho
4,El Norte,Spanish,4,296.0,4.5,Mayfair
5,Park Row,Modern European,4,485.0,4.6,Soho
6,Bill'S Restaurant & Bar - Soho,British,2,1289.0,4.2,Soho
7,Whitcomb'S,French,4,193.0,4.6,Leicester Square
8,Temper Soho,Steak,4,3083.0,4.2,Soho
9,Maoz Soho,Middle Eastern,2,231.0,4.3,Soho
11,Happy,Modern European,2,1498.0,4.4,Leicester Square
12,Gaucho Piccadilly,Steak,4,10083.0,4.2,Piccadilly
13,Pierre Victoire,French,2,4365.0,4.6,Soho
14,Forty Dean Street,Italian,3,2183.0,4.5,Soho
15,Tamarind Kitchen,Indian,3,1057.0,4.6,Soho
16,Fishworks - Swallow Street,Seafood,2,2750.0,4.4,Piccadilly
17,Robata,Japanese,3,953.0,4.4,Soho
18,Prix Fixe Brasserie,French,3,2877.0,4.5,Soho
19,Sarap Bistro,Filipino,4,72.0,4.6,Mayfair
20,Heddon Street Kitchen,Modern European,3,2213.0,4.2,Piccadilly
21,Farzi Cafe,Indian,3,892.0,4.3,Piccadilly
22,Lobos Meat & Tapas - Soho,Spanish,2,1503.0,4.5,Soho
23,Rowley'S Restaurant,British,4,1900.0,4.5,Piccadilly
24,Estiatorio Milos – London,Seafood,4,1473.0,4.6,Piccadilly
25,Vasco & Piero'S Pavilion Restaurant,Italian,3,1109.0,4.6,Soho
27,Orient London,Chinese,2,772.0,4.5,Soho
28,Zima Russian Restaurant,Russian,3,683.0,4.7,Soho
29,Kanishka,Indian,4,1085.0,4.4,Mayfair
30,Ino Gastrobar,Greek,3,98.0,4.5,Soho
31,Pix Carnaby,Spanish,2,443.0,4.1,Soho
32,Refuel Restaurant At The Soho Hotel,Modern European,2,2619.0,4.5,Soho
33,Ruby'S Soho,British,2,262.0,4.0,Soho
34,The Rainforest Cafe London,American,3,3091.0,,Piccadilly
