names,summary,cusine,price,reviews_count,rating,address,url
Restaurant Story,Chef Tom Sellers' novel approach to British classics. Choose from 6 or 10-course set menus.,Fine dining restaurant,££££,418 reviews,4.6,"199 Tooley St, London SE1 2JX","https://www.google.com/maps/place/Restaurant+Story/@51.513554,-0.094928,14z/data=!4m9!1m2!2m1!1srestaurants+in+london+uk!3m5!1s0x48760345b967be71:0x3dada9c454e764a7!8m2!3d51.5028368!4d-0.0777666!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgEWZmluZV9kaW5pbmdfcmVzdGF1cmFudA"
Galvin La Chapelle,NA,French restaurant,££££,"1,901 reviews",4.6,,"https://www.google.com/maps/place/Galvin+La+Chapelle/@51.5202227,-0.0956598,14z/data=!4m9!1m2!2m1!1srestaurants+in+london+uk!3m5!1s0x48761cb3d8879783:0x10f181790c118e21!8m2!3d51.5202227!4d-0.0781503!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgERZnJlbmNoX3Jlc3RhdXJhbnQ"
City Social,NA,Modern European restaurant,££££,"1,187 reviews",4.5,,"https://www.google.com/maps/place/City+Social/@51.5202227,-0.0956598,14z/data=!4m9!1m2!2m1!1srestaurants+in+london+uk!3m5!1s0x48761cad367a6c7f:0x132f1b5a0e82c0c8!8m2!3d51.5151783!4d-0.0840458!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgEabW9kZXJuX2V1cm9wZWFuX3Jlc3RhdXJhbnQ"
Brawn,Mediterranean small plates menu with an 'all things pork' section in 2 simple but stylish rooms.,Mediterranean restaurant,££,615 reviews,4.7,"49 Columbia Rd, London E2 7RG","https://www.google.com/maps/place/Brawn/@51.5202227,-0.0956598,14z/data=!4m9!1m2!2m1!1srestaurants+in+london+uk!3m5!1s0x48761cc7623842af:0x4bb9017c4ea386c4!8m2!3d51.528968!4d-0.070239!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgEYbWVkaXRlcnJhbmVhbl9yZXN0YXVyYW50"
Il Bordello,"Old-school Italian restaurant with an authentic feel, whitewashed dining room and copper bar.",Italian restaurant,££,"1,170 reviews",4.5,"metropolitan wharf, 70 Wapping Wall, London E1W 3SS","https://www.google.com/maps/place/Il+Bordello/@51.5066137,-0.0701131,14z/data=!4m9!1m2!2m1!1srestaurants+in+london+uk!3m5!1s0x4876033abf22013f:0x4e448b5a870cea1b!8m2!3d51.5066147!4d-0.0526072!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgESaXRhbGlhbl9yZXN0YXVyYW50"
Angler,"Modern British restaurant at the South Place Hotel, with mirrored ceiling and 7th-floor City views.",Modern British restaurant,££££,536 reviews,4.6,"South Place Hotel, 3 South Pl, London EC2M 2AF","https://www.google.com/maps/place/Angler/@51.5190865,-0.103926,14z/data=!4m9!1m2!2m1!1srestaurants+in+london+uk!3m5!1s0x48761cac3fe84e53:0x577641594b03e7c5!8m2!3d51.5190865!4d-0.0864165!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgEZbW9kZXJuX2JyaXRpc2hfcmVzdGF1cmFudA"
MW Restaurants,NA,Modern European restaurant,Not Available,1 review,5.0,"3 Threadneedle St, London EC2R 8HP","https://www.google.com/maps/place/MW+Restaurants/@51.5190865,-0.103926,14z/data=!4m9!1m2!2m1!1srestaurants+in+london+uk!3m5!1s0x487603533936f127:0x865ecd3bcdb47310!8m2!3d51.5140283!4d-0.0863247!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgEabW9kZXJuX2V1cm9wZWFuX3Jlc3RhdXJhbnQ"
Bob Bob Ricard Soho,Uniformed staff serve Russian-inspired Modern British menu and cocktails in cool art deco surrounds.,European restaurant,££££,"1,967 reviews",4.5,"1 Upper James St, London W1F 9DF","https://www.google.com/maps/place/Bob+Bob+Ricard+Soho/@51.51233,-0.154762,14z/data=!4m9!1m2!2m1!1srestaurants+in+london+uk!3m5!1s0x487604d4f81d3b37:0x483d43bdcad9b09a!8m2!3d51.51233!4d-0.1372525!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgETZXVyb3BlYW5fcmVzdGF1cmFudA"
Galvin Bistrot & Bar,NA,Bistro,£££,349 reviews,4.4,,"https://www.google.com/maps/place/Galvin+Bistrot+%26+Bar/@51.520218,-0.0953244,14z/data=!4m9!1m2!2m1!1srestaurants+in+london+uk!3m5!1s0x48761cb163b3cd4b:0x4f6a23844addfe98!8m2!3d51.520218!4d-0.0778149!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgEGYmlzdHJvmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJMZWw5VE1HWkJFQUU"
Lobos Meat and Tapas,"Dimly lit eatery in a modern space under rail arches, serving Iberico pig meats and small plates.",Tapas restaurant,£££,"1,086 reviews",4.4,"14 Borough High St, London SE1 9QG","https://www.google.com/maps/place/Lobos+Meat+and+Tapas/@51.5055945,-0.1067879,14z/data=!4m9!1m2!2m1!1srestaurants+in+london+uk!3m5!1s0x4876035746d28803:0xafd67caba2a60e52!8m2!3d51.5055945!4d-0.0892784!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgEQdGFwYXNfcmVzdGF1cmFudA"
