,Unnamed: 0,website_id,full_name,cuisine,price_range,reviews,rating,location,url,rest_id
0,0,1265,Obicà Mozzarella Bar - Poland Street,Italian,2,581.0,4.3,Oxford Circus,https://www.opentable.co.uk/obica-mozzarella-bar-poland-street?avt=eyJ2IjoyLCJtIjoxLCJwIjoxLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2270
1,1,1496,Ham Yard Bar And Restaurant,Modern European,2,3697.0,4.6,Soho,https://www.opentable.co.uk/r/ham-yard-bar-and-restaurant-london?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2259
2,2,1212,Hachi Japanese Bbq Restaurant,Japanese,2,270.0,4.6,Soho,https://www.opentable.co.uk/r/hachi-japanese-bbq-restaurant-london?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2598
3,3,1241,El Norte,Spanish,4,299.0,4.5,Mayfair,https://www.opentable.co.uk/r/el-norte-london?avt=eyJ2IjoyLCJtIjoxLCJwIjoxLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2451
4,4,1441,Bocconcino,Italian,3,1525.0,4.0,Mayfair,https://www.opentable.co.uk/bocconcino?avt=eyJ2IjoyLCJtIjoxLCJwIjoxLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2224
5,5,1243,Brasserie Zedel,French,2,3147.0,4.5,Piccadilly,https://www.opentable.co.uk/brasserie-zedel?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2465
6,6,1147,Mele E Pere,Italian,2,1695.0,4.4,Soho,https://www.opentable.co.uk/r/mele-e-pere-london?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2591
7,7,1402,Temper Soho,Steak,4,3088.0,4.2,Soho,,2452
8,8,1348,Hawksmoor Air Street,Steak,2,9307.0,4.7,Piccadilly,https://www.opentable.co.uk/hawksmoor-air-street?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2618
9,9,1428,Hard Rock Cafe London Piccadilly Circus,American,2,3379.0,4.6,Piccadilly,https://www.opentable.co.uk/r/hard-rock-cafe-london-piccadilly-circus-london?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2283
11,11,1376,Andrew Edmunds,Modern European,3,714.0,4.7,Soho,https://www.opentable.co.uk/r/andrew-edmunds-london?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2342
12,12,1174,Old Compton Brasserie,British,2,1941.0,4.5,Soho,https://www.opentable.co.uk/r/old-compton-brasserie-london?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2553
13,13,1143,Folie,French,3,53.0,4.5,Soho,https://www.opentable.co.uk/r/folie-london?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2615
